step,step_ms,action,active_points,evaluation_points,recompute_count,prediction_count,cluster_count,pairwise_precision,pairwise_recall,false_merge_rate,coverage,ari,nmi
10,0.008436967618763447,approx_predict,10,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.017085927538573742,approx_predict,20,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.02234091516584158,approx_predict,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.3219048958271742,approx_predict,40,40,1,1,5,0.0,0.0,0.15256410256410258,0.9,0.0,0.6430751868539359
50,0.1641339622437954,approx_predict,50,50,1,11,5,0.0,0.0,0.14857142857142858,0.9,0.0,0.6228050871700592
60,0.1556479837745428,approx_predict,60,60,1,21,5,0.0,0.0,0.14576271186440679,0.8833333333333333,0.0,0.6051339057157611
70,0.16757205594331026,approx_predict,70,70,1,31,5,0.0,0.0,0.14865424430641822,0.8857142857142857,0.0,0.5891979348952117
80,0.2257790183648467,approx_predict,80,80,1,41,5,0.0,0.0,0.14715189873417722,0.875,0.0,0.5768165580296238
90,0.23252505343407393,approx_predict,90,90,1,51,5,0.0,0.0,0.15006242197253433,0.8777777777777778,0.0,0.5651390593330127
100,0.2962329890578985,approx_predict,100,100,1,61,5,0.0,0.0,0.15414141414141413,0.89,0.0,0.5553837490859925
110,0.23007101844996214,approx_predict,110,110,1,71,5,0.0,0.0,0.14795663052543787,0.8727272727272727,0.0,0.5492251202595058
120,0.24155201390385628,approx_predict,120,120,1,81,5,0.0,0.0,0.15294117647058825,0.8833333333333333,0.0,0.5406278649819208
